P,NYSE,
STT,NYSE,
ECA,NYSE,
CAM,NYSE,
ALU,NYSE,
DISCA,NASDAQ,
MHR,NYSE,
AIG,NYSE,
KKR,NYSE,
DLTR,NASDAQ,
XL,NYSE,
CPN,NYSE,
CY,NASDAQ,
HAL,NYSE,
CENX,NASDAQ,
DHR,NYSE,
CFN,NYSE,
ADBE,NASDAQ,
KFX,NASDAQ,
HDS,NASDAQ,
BMR,NYSE,
OREX,NASDAQ,
HRB,NYSE,
MAS,NYSE,
X,NYSE,
NEE,NYSE,
MDRX,NASDAQ,
UPS,NYSE,
PNC,NYSE,
CMS,NYSE,
BBD,NYSE,
K,NYSE,
MYL,NASDAQ,
TSO,NYSE,
GPS,NYSE,
HON,NYSE,
OXY,NYSE,
XEL,NYSE,
BRK.B,NYSE,
FOLD,NASDAQ,
MMM,NYSE,
PM,NYSE,
KEY,NYSE,
IVZ,NYSE,
DRE,NYSE,
ARMK,NYSE,
NE,NYSE,
HIG,NYSE,
OAS,NYSE,
JD,NASDAQ,
PEP,NYSE,
AAPL,NASDAQ,
PCG,NYSE,
GNW,NYSE,
DAR,NYSE,
HK,NYSE,
WEN,NASDAQ,
KRFT,NASDAQ,
ELX,NYSE,
A,NYSE,
AEP,NYSE,
FE,NYSE,
AGN,NYSE,
MFA,NYSE,
JCI,NYSE,
ACN,NYSE,
SO,NYSE,
AEM,NYSE,
SLW,NYSE,
LLY,NYSE,
VVUS,NASDAQ,
LL,NYSE,
FNFG,NASDAQ,
YOKU,NYSE,
NRF,NYSE,
SLCA,NYSE,
COV,NYSE,
MTW,NYSE,
TMUS,NYSE,
LVS,NYSE,
AES,NYSE,
BIIB,NASDAQ,
STLD,NASDAQ,
YNDX,NASDAQ,
NOV,NYSE,
ETN,NYSE,
T,NYSE,
HL,NYSE,
DG,NYSE,
CBS,NYSE,
ONCY,NASDAQ,
SRC,NYSE,
VEEV,NYSE,
PBCT,NASDAQ,
QQQ,NASDAQ,
MRK,NYSE,
CSX,NYSE,
NLY,NYSE,
CLR,NYSE,
TJX,NYSE,
HP,NYSE,
TEX,NYSE,
XCO,NYSE,
JNS,NYSE,
MCHP,NASDAQ,
KIM,NYSE,
FLEX,NASDAQ,
CVC,NYSE,
MDLZ,NASDAQ,
PPC,NASDAQ,
LEN,NYSE,
AMD,NASDAQ,
ADI,NASDAQ,
CAG,NYSE,
FEYE,NASDAQ,
CBI,NYSE,
NUE,NYSE,
AEZS,NASDAQ,
IAG,NYSE,
SE,NYSE,
DD,NYSE,
TGT,NYSE,
TEVA,NYSE,
PPL,NYSE,
IDTI,NASDAQ,
HCP,NYSE,
DUK,NYSE,
VLO,NYSE,
YELP,NYSE,
COH,NYSE,
CVS,NYSE,
MRC,NYSE,
DIS,NYSE,
WFM,NASDAQ,
BX,NYSE,
BA,NYSE,
PG,NYSE,
WBA,NASDAQ,
VIAB,NASDAQ,
HD,NYSE,
SD,NYSE,
KO,NYSE,
CELG,NASDAQ,
SUNE,NYSE,
TWC,NYSE,
PWE,NYSE,
MDT,NYSE,
AMTD,NYSE,
CYCC,NASDAQ,
MDR,NYSE,
STWD,NYSE,
CFG,NYSE,
HCA,NYSE,
HCN,NYSE,
VOYA,NYSE,
AEO,NYSE,
GSK,NYSE,
EOG,NYSE,
BAX,NYSE,
COST,NASDAQ,
NXPI,NASDAQ,
LXRX,NASDAQ,
LKQ,NASDAQ,
ED,NYSE,
VZ,NYSE,
TQQQ,NASDAQ,
WMT,NYSE,
V,NYSE,
NBG,NYSE,
TRN,NYSE,
SIRI,NASDAQ,
DTV,NASDAQ,
ALL,NYSE,
BHP,NYSE,
VOD,NASDAQ,
GGB,NYSE,
SPN,NYSE,
D,NYSE,
LO,NYSE,
POT,NYSE,
PGR,NYSE,
DOW,NYSE,
KGC,NYSE,
HST,NYSE,
DHI,NYSE,
CTIC,NASDAQ,
CDNS,NASDAQ,
CMCSA,NASDAQ,
WIN,NASDAQ,
CL,NYSE
